d:snn_sn_vs_all,d:snn_snia_vs_nonia,candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
0.0,0.0,2491461580015010000,45.5922587,1,2460245.9615856,19.147087,ZTF18aahqkbt,123.8608728,0.13711812
0.0,0.0,2487451660015010000,45.5922163,1,2460241.9516667,18.99347,ZTF18aahqkbt,123.8608329,0.097327724
0.0,0.0,2484444910015010000,45.5921986,1,2460238.944919,19.103975,ZTF18aahqkbt,123.8608631,0.09989706
0.0,0.0,2484442083915010000,34.262079,1,2460238.9420833,20.010164,ZTF18aabtxvd,119.227249,0.17394984
0.0,0.0,2482411880015010000,45.5922115,1,2460236.9118866,19.166964,ZTF18aahqkbt,123.8608641,0.08776677000000001
0.0,0.0,2480474243915010001,34.2620879,1,2460234.9742477,19.90794,ZTF18aabtxvd,119.2272005,0.1275062
0.0,0.0,2480470930015010000,45.5922701,1,2460234.9709375,19.13496,ZTF18aahqkbt,123.8608676,0.09150372400000001
0.0,0.0,2478465380015010000,45.5921962,1,2460232.9653819,19.0977,ZTF18aahqkbt,123.8609258,0.08634474
0.0,0.0,2478463023915010000,34.2620769,1,2460232.9630208,20.077908,ZTF18aabtxvd,119.2273177,0.16849351
0.0,0.0,2470447960015010001,45.5922375,1,2460224.947963,19.202536,ZTF18aahqkbt,123.8609108,0.12604947
0.0,0.0,2459448283915010000,34.2620651,1,2460213.948287,19.845415,ZTF18aabtxvd,119.2272785,0.18822576
0.0,0.0,2459404000015010000,45.5922369,1,2460213.9040046,19.023489,ZTF18aahqkbt,123.8607587,0.16541614000000002
0.0,0.0,2439499981315010001,45.5921703,2,2460193.9999884,19.162437,ZTF18aahqkbt,123.8608861,0.19851902
0.0,0.0,2439488740015010000,45.5922093,1,2460193.98875,19.344976,ZTF18aahqkbt,123.860907,0.13538039
0.0,0.0,2311181950015010000,45.5921915,1,2460065.681956,19.032743,ZTF18aahqkbt,123.8609668,0.119692795
0.0,0.0,2305164690015010000,45.5922084,1,2460059.6646991,19.232594,ZTF18aahqkbt,123.8609621,0.123079084
0.0,0.0,2303197780015010000,45.5922044,1,2460057.6977894,19.22009,ZTF18aahqkbt,123.8609276,0.09324026
0.0,0.0,2303196853915010000,34.2621431,1,2460057.6968519,19.969536,ZTF18aabtxvd,119.227231,0.1782557
0.0,0.0,2303166330015010000,45.5922614,2,2460057.666331,19.802185,ZTF18aahqkbt,123.8608074,0.18797149
0.0,0.0,2301181650015010000,45.5922099,1,2460055.6816551,19.265284,ZTF18aahqkbt,123.8610144,0.089896075
0.0,0.0,2301180163915010000,34.2621581,1,2460055.680162,20.031961,ZTF18aabtxvd,119.2272491,0.20466547000000002
0.0,0.0,2297215780015010000,45.5922155,1,2460051.715787,19.17568,ZTF18aahqkbt,123.8609239,0.0645578
0.0,0.0,2297196333915010000,34.2621286,1,2460051.696331,20.073336,ZTF18aabtxvd,119.2272971,0.16969831
0.0,0.0,2295166123915010000,34.2621065,1,2460049.6661227,20.029678,ZTF18aabtxvd,119.2273579,0.20481059999999998
0.0,0.0,2295163760015010001,45.5922103,1,2460049.6637616,19.070454,ZTF18aahqkbt,123.8609644,0.07933248600000001
0.0,0.0,2291181620015010001,45.5922143,1,2460045.6816204,19.186026,ZTF18aahqkbt,123.8609193,0.082236715
0.0,0.0,2291178733915010000,34.2621295,1,2460045.6787384,20.217491,ZTF18aabtxvd,119.227242,0.20188858
0.0,0.0,2289310710015010000,45.5921319,1,2460043.8107176,19.013315,ZTF18aahqkbt,123.8609087,0.16871457
0.0,0.0,2282309440015010000,45.5922167,1,2460036.8094444,19.16093,ZTF18aahqkbt,123.8609542,0.15645863000000002
0.0,0.0,2277199810015010000,45.5922268,1,2460031.6998148,19.115114,ZTF18aahqkbt,123.8609338,0.10654766
0.0,0.0,2277182823915010000,34.2621032,1,2460031.6828241,19.86731,ZTF18aabtxvd,119.2271937,0.19609395000000002
0.0,0.0,2277161650015010000,45.5921963,2,2460031.6616551,19.652655,ZTF18aahqkbt,123.8608281,0.1254807
0.0,0.0,2267201750015010001,45.5921936,1,2460021.7017593,18.979616,ZTF18aahqkbt,123.8609844,0.10896942
0.0,0.0,2267198423915010000,34.2619969,1,2460021.6984259,19.971254,ZTF18aabtxvd,119.2272814,0.17251368
0.0,0.0,2263199020015010000,45.5921965,1,2460017.6990278,19.072294,ZTF18aahqkbt,123.8609614,0.07531436500000001
0.0,0.0,2240362100015010000,45.5922219,1,2459994.8621065,19.336716,ZTF18aahqkbt,123.860996,0.14180152000000001
0.0,0.0,2238256890015010000,45.59219,1,2459992.7568981,19.185118,ZTF18aahqkbt,123.861053,0.14298688
0.0,0.0,2238228701315010001,45.5921795,2,2459992.7287037,19.031534,ZTF18aahqkbt,123.8610486,0.14206718000000002
0.0,0.0,2231227340015010000,45.5921963,2,2459985.7273495,19.666399,ZTF18aahqkbt,123.8608835,0.20010261000000001
0.0,0.0,2229115480015010000,45.5922127,1,2459983.6154861,19.088331,ZTF18aahqkbt,123.8609089,0.10351826
0.0,0.0,2217364910015010001,45.592174,1,2459971.864919,19.164652,ZTF18aahqkbt,123.8609175,0.08209274
0.0,0.0,2215320351315010001,45.5922304,2,2459969.8203588,19.320667,ZTF18aahqkbt,123.8610147,0.18541555
0.0,0.0,2215280480015010001,45.5921685,1,2459969.7804861,19.131824,ZTF18aahqkbt,123.8609958,0.09572816
0.0,0.0,2213348050015010001,45.5921783,1,2459967.8480556,18.94994,ZTF18aahqkbt,123.8609185,0.09877676
0.0,0.0,2197380410015010000,45.5922697,1,2459951.8804167,19.009142,ZTF18aahqkbt,123.8609144,0.17265321
0.0,0.0,2183373693915010000,34.2621605,1,2459937.8736921,19.947513999999998,ZTF18aabtxvd,119.227316,0.20400487
0.0,0.0,2183341450015010000,45.5920977,2,2459937.8414583,19.435835,ZTF18aahqkbt,123.8608824,0.11851006
0.0,0.0,2183321250015010001,45.592158,1,2459937.82125,19.02125,ZTF18aahqkbt,123.8609956,0.09387506500000001
0.0,0.0,2181337500515010009,1.6927848,1,2459935.8375,16.462898,ZTF18acpdvos,151.7119917,0.037985608000000004
0.0,0.0,2181330060015010009,45.5922302,1,2459935.8300694,19.12434,ZTF18aahqkbt,123.8609489,0.09460697
0.0,0.0,2181317513915010001,34.2620692,1,2459935.8175116,19.978031,ZTF18aabtxvd,119.2272873,0.18649858
0.0,0.0,2176370560015010000,45.5921778,1,2459930.8705671,19.15225,ZTF18aahqkbt,123.8609045,0.104054146
0.0,0.0,2176328623915010001,34.2620629,1,2459930.8286227,20.057543,ZTF18aabtxvd,119.2272407,0.20122093
0.0,0.0,2169411770015010000,45.5922288,1,2459923.9117708,18.98412,ZTF18aahqkbt,123.8609031,0.12179364000000001
0.0,0.0,2152424140515010016,1.6927816999999998,1,2459906.9241435,16.475723,ZTF18acpdvos,151.7119904,0.027268313000000002
0.0,0.0,2149373763915010000,34.2621126,1,2459903.8737616,20.06207,ZTF18aabtxvd,119.2273151,0.18369152
0.0,0.0,2149372340015010003,45.5922111,1,2459903.8723495,19.07146,ZTF18aahqkbt,123.8608395,0.077568576
0.0,0.0,2147384880015010015,45.5922254,1,2459901.8848843,18.84719,ZTF18aahqkbt,123.8609857,0.11909238
0.0,0.0,2143467590015010002,45.5922819,1,2459897.9675926,19.101849,ZTF18aahqkbt,123.8608916,0.14831188
0.0,0.0,2141368440015010000,45.5922296,1,2459895.8684491,19.212807,ZTF18aahqkbt,123.8609176,0.13412246
0.0,0.0,2135492740015010000,45.5922109,1,2459889.9927431,19.109716,ZTF18aahqkbt,123.8609089,0.105799265
0.0,0.0,2134458250515010003,1.6927872,1,2459888.9582523,16.476114,ZTF18acpdvos,151.7119968,0.042670615
0.0,0.0,2128515540015010003,45.5921912,1,2459883.015544,19.166399,ZTF18aahqkbt,123.860928,0.14784177
0.0,0.0,2127463480515010009,1.6927773,1,2459881.9634838,16.4643,ZTF18acpdvos,151.7119999,0.03134494
0.0,0.0,2125464460515010021,1.6927926,1,2459879.9644676,16.478992,ZTF18acpdvos,151.7119805,0.034767926000000005
0.0,0.0,2124448310015010001,45.5922049,1,2459878.9483102,19.197962,ZTF18aahqkbt,123.8608671,0.09294182000000001
0.0,0.0,2120490410015010001,45.5921666,2,2459874.9904167,19.661108,ZTF18aahqkbt,123.8608821,0.13328442000000001
0.0,0.0,2120445050015010001,45.5921937,1,2459874.9450579,19.127853,ZTF18aahqkbt,123.8608834,0.06995028
0.0,0.0,2120444083915010001,34.262096,1,2459874.9440856,19.896488,ZTF18aabtxvd,119.2272849,0.15816349
0.0,0.0,2118469250015010000,45.5921812,1,2459872.9692593,19.11412,ZTF18aahqkbt,123.8609002,0.08773526
0.0,0.0,2117495313915010000,34.2621589,1,2459871.9953125,19.80114,ZTF18aabtxvd,119.2272015,0.21052985
0.0,0.0,2108430370015010000,45.5922032,1,2459862.9303704,19.149614,ZTF18aahqkbt,123.8609804,0.15943469999999998
0.0,0.0,2106488200015010000,45.5921837,1,2459860.988206,19.102571,ZTF18aahqkbt,123.8609156,0.12380459
0.0,0.0,2104505551315010000,45.5922422,2,2459859.0055556,18.778961,ZTF18aahqkbt,123.8609847,0.11325046400000001
0.0,0.0,2104477690015010000,45.5922176,1,2459858.9776968,19.242296,ZTF18aahqkbt,123.8609161,0.08033147
0.0,0.0,2104467683915010000,34.2621696,1,2459858.9676852,19.894236,ZTF18aabtxvd,119.2272456,0.13868758
0.0,0.0,2102445233915010000,34.2620775,1,2459856.9452315,19.960247,ZTF18aabtxvd,119.2272461,0.19685383
0.0,0.0,2092493703915010000,34.2622148,1,2459846.9937037,20.013132,ZTF18aabtxvd,119.2271519,0.17379944
0.0,0.0,2092493210015010000,45.5921935,1,2459846.9932176,19.03384,ZTF18aahqkbt,123.8609473,0.09189021600000001
0.0,0.0,2071500821315010000,45.5922297,2,2459826.0008218,18.87485,ZTF18aahqkbt,123.8608634,0.12433801
0.0,0.0,2065498090015010000,45.592235,2,2459819.9980903,19.659374,ZTF18aahqkbt,123.8609285,0.21249579000000002
0.0,0.0,2056288900815015018,85.0088326,2,2459810.7889005,19.337101,ZTF20abfcszi,7.8062017,0.18330094
0.0,0.0,1961237310515010007,1.6927869,1,2459715.7373148,16.460693,ZTF18acpdvos,151.7119906,0.030953135000000003
0.0,0.0,1948175301315010000,45.5922582,2,2459702.6753009,18.876453,ZTF18aahqkbt,123.861109,0.14203113
0.0,0.0,1946197820015010000,45.5922258,1,2459700.6978241,19.183414,ZTF18aahqkbt,123.8609463,0.09558377
0.0,0.0,1943200903915010000,34.2621301,1,2459697.7009028,19.78988,ZTF18aabtxvd,119.227281,0.16101727
0.0,0.0,1942176920015010000,45.5922168,1,2459696.6769213,19.122408,ZTF18aahqkbt,123.8609637,0.08255464600000001
0.0,0.0,1941270750515010007,1.6927973,1,2459695.7707523,16.538065,ZTF18acpdvos,151.7119843,0.08082343
0.0,0.0,1940265060015010000,45.5922065,1,2459694.7650694,19.110733,ZTF18aahqkbt,123.8609615,0.118930794
0.0,0.0,1936262410015010000,45.5921964,1,2459690.762419,19.071192,ZTF18aahqkbt,123.8609731,0.102991596
0.0,0.0,1934183260015010000,45.5922114,1,2459688.6832639,19.171345,ZTF18aahqkbt,123.8609925,0.0932509
0.0,0.0,1929283190015010000,45.5922484,1,2459683.7831944,19.080524,ZTF18aahqkbt,123.8610849,0.15586752
0.0,0.0,1929166671315010001,45.5922126,2,2459683.6666782,18.614548,ZTF18aahqkbt,123.8611715,0.15502883
0.0,0.0,1924218831315010000,45.5922258,2,2459678.718831,19.176773,ZTF18aahqkbt,123.8609923,0.21053621
0.0,0.0,1924181920015010000,45.592194,1,2459678.6819213,19.051516,ZTF18aahqkbt,123.8609293,0.10002951
0.0,0.0,1922196700015010000,45.5922273,1,2459676.6967014,19.235634,ZTF18aahqkbt,123.8610236,0.10090391
0.0,0.0,1922195713915010000,34.2621039,1,2459676.6957176,20.05536,ZTF18aabtxvd,119.2272316,0.20521662000000002
0.0,0.0,1922174251315010001,45.5922001,2,2459676.6742593,18.799366,ZTF18aahqkbt,123.8611435,0.14796239
0.0,0.0,1920361040515010008,1.6927917,1,2459674.8610417,16.465403,ZTF18acpdvos,151.71199,0.034076504
0.0,0.0,1920178573915010000,34.2621333,1,2459674.6785764,19.891045,ZTF18aabtxvd,119.2272539,0.13800831
0.0,0.0,1920176640015010000,45.5922152,1,2459674.6766435,19.36252,ZTF18aahqkbt,123.8609862,0.07910184
0.0,0.0,1918156383915010000,34.2620958,1,2459672.6563889,19.972893,ZTF18aabtxvd,119.2272575,0.15148534
0.0,0.0,1917283630015010000,45.5922643,1,2459671.7836343,19.364557,ZTF18aahqkbt,123.8609503,0.11077459
0.0,0.0,1886195250015010001,45.5922381,1,2459640.6952546,19.206303,ZTF18aahqkbt,123.8609068,0.07394397
0.0,0.0,1886193173915010000,34.2620973,1,2459640.6931713,19.981974,ZTF18aabtxvd,119.2273559,0.16911116
0.0,0.0,1884343550015010000,45.5921802,1,2459638.8435532,19.132294,ZTF18aahqkbt,123.8608602,0.14098899
0.0,0.0,1882221600015010000,45.5922355,1,2459636.7216088,19.11588,ZTF18aahqkbt,123.8609108,0.072271705
0.0,0.0,1882191573915010000,34.2621021,1,2459636.6915741,20.018856,ZTF18aabtxvd,119.2272828,0.15765
0.0,0.0,1875389830015010000,45.592279,1,2459629.889838,19.048943,ZTF18aahqkbt,123.8609307,0.14922993
0.0,0.0,1870266210015010000,45.5922368,1,2459624.7662153,18.939125,ZTF18aahqkbt,123.86095159999999,0.17419577
0.0,0.0,1868264560015010001,45.59223,1,2459622.7645602,19.192963,ZTF18aahqkbt,123.8609034,0.16710544
0.0,0.0,1796457150515010024,1.6927865,1,2459550.9571528,16.486984,ZTF18acpdvos,151.7119943,0.032527799999999996
0.0,0.0,1796302400015010001,45.5922393,1,2459550.8024074,19.220396,ZTF18aahqkbt,123.8608754,0.07220156
0.0,0.0,1782434060015010000,45.5922619,1,2459536.9340625,19.114265,ZTF18aahqkbt,123.8608251,0.15399121
0.0,0.0,1777430820015010000,45.5921866,2,2459531.9308218,19.898977,ZTF18aahqkbt,123.8607764,0.18600355000000002
0.0,0.0,1777392650015010000,45.592204100000004,1,2459531.8926505,19.180836,ZTF18aahqkbt,123.8609517,0.08821159
0.0,0.0,1777381093915010000,34.2621655,1,2459531.8810995,20.062525,ZTF18aabtxvd,119.2272612,0.18092918
0.0,0.0,1776497690515010019,1.6927846999999998,1,2459530.9976968,16.468529,ZTF18acpdvos,151.7119755,0.034818485
0.0,0.0,1775391053915010000,34.2621791,1,2459529.8910532,20.026821,ZTF18aabtxvd,119.2271588,0.1612248
0.0,0.0,1775390110015010002,45.5921957,1,2459529.8901157,19.091818,ZTF18aahqkbt,123.8609318,0.10148064
0.0,0.0,1775364140015010000,45.5921295,2,2459529.8641435,19.892597,ZTF18aahqkbt,123.8607583,0.2014524
0.0,0.0,1772453240015010000,45.5922073,1,2459526.9532407,19.120659,ZTF18aahqkbt,123.8609355,0.06759071
0.0,0.0,1772449933915010000,34.2621005,1,2459526.9499306,19.898394,ZTF18aabtxvd,119.2272845,0.16540481
0.0,0.0,1771482970515010020,1.6927862,1,2459525.9829745,16.50763,ZTF18acpdvos,151.7119993,0.030450195000000003
0.0,0.0,1770519393915010000,34.2620954,1,2459525.0193981,19.996723,ZTF18aabtxvd,119.2272665,0.123735115
0.0,0.0,1770347600015010000,45.5922059,1,2459524.8476042,19.19201,ZTF18aahqkbt,123.860889,0.09031232
0.0,0.0,1768455503915010000,34.2621044,1,2459522.9555093,19.948746,ZTF18aabtxvd,119.2272932,0.17732409999999998
0.0,0.0,1768370450015010000,45.5922035,1,2459522.8704514,19.221073,ZTF18aahqkbt,123.8609838,0.10087842500000001
0.0,0.0,1764361403915010000,34.2621214,1,2459518.8614005,20.050907,ZTF18aabtxvd,119.2272905,0.14081182
0.0,0.0,1764346950015010000,45.5922336,1,2459518.846956,19.175175,ZTF18aahqkbt,123.8608618,0.09928203000000001
0.0,0.0,1755514670515010005,1.6927894,1,2459510.0146759,16.478968,ZTF18acpdvos,151.711991,0.034681816000000004
0.0,0.0,1755426510015010000,45.5921938,1,2459509.9265162,19.126415,ZTF18aahqkbt,123.8609267,0.16629549999999998
0.0,0.0,1749476460015010000,45.592182,1,2459503.9764699,19.046799,ZTF18aahqkbt,123.8608537,0.09665277
0.0,0.0,1749468193915010000,34.2621456,1,2459503.9681944,20.086336,ZTF18aabtxvd,119.2272659,0.17146161000000001
0.0,0.0,1746475993915010000,34.2621029,1,2459500.9759954,19.887655,ZTF18aabtxvd,119.2273092,0.16952209000000001
0.0,0.0,1746447240015010000,45.5922048,1,2459500.9472454,19.173147,ZTF18aahqkbt,123.8608425,0.14318739
0.0,0.0,1742387310015010000,45.5922165,1,2459496.8873148,19.212753,ZTF18aahqkbt,123.8609591,0.120602235
0.0,0.0,1735495230015010000,45.5922374,1,2459489.9952315,19.217522,ZTF18aahqkbt,123.860876,0.1174359
0.0,0.0,1733492960015010000,45.5922106,2,2459487.992963,19.47652,ZTF18aahqkbt,123.8608551,0.18355711
0.0,0.0,1720452410015010000,45.5921716,1,2459474.952419,19.192959,ZTF18aahqkbt,123.860861,0.10903448
0.0,0.0,1720451483915010000,34.2621537,1,2459474.9514815,20.027212,ZTF18aabtxvd,119.2272346,0.19378985
0.0,0.0,1718454290015010000,45.5921443,1,2459472.954294,18.67858,ZTF18aahqkbt,123.8609588,0.10914498
0.0,0.0,1709297730815015004,85.0087857,2,2459463.7977315,19.950455,ZTF20abfcszi,7.8050591,0.11967755000000001
0.0,0.0,1681258590815015002,85.0088198,2,2459435.7585995,20.303152,ZTF20abfcszi,7.8067079,0.18733062
0.0,0.0,1622361940115015035,30.692164,1,2459376.8619444,20.347538,ZTF18acaqdaa,262.0164129,0.20823291
0.0,0.0,1616391230115015027,30.6920928,1,2459370.8912384,20.624462,ZTF18acaqdaa,262.016359,0.19645754
0.0,0.0,1615214994415015007,27.440608,1,2459369.715,20.284573,ZTF20abnorit,171.3583879,0.1933712
0.0,0.0,1611194694415015008,27.4405669,1,2459365.6946991,20.269466,ZTF20abnorit,171.3583959,0.19892454
0.0,0.0,1607242330515010004,1.6927911,1,2459361.742338,16.473036,ZTF18acpdvos,151.7119819,0.035880137
0.0,0.0,1594245904415015010,27.440645,1,2459348.7459028,20.177862,ZTF20abnorit,171.3584522,0.15957591000000002
0.0,0.0,1594214020515010018,1.6927906,1,2459348.7140278,16.477158,ZTF18acpdvos,151.7119915,0.029674511
0.0,0.0,1592291564415015004,27.440637,2,2459346.7915625,20.304777,ZTF20abnorit,171.3584986,0.20375924
0.0,0.0,1590289404415015008,27.4406066,1,2459344.7894097,20.14891,ZTF20abnorit,171.3584658,0.16623469
0.0,0.0,1590223684415015015,27.4406939,2,2459344.7236806,20.571129,ZTF20abnorit,171.3584914,0.17690194
0.0,0.0,1590173990515010015,1.6927898,1,2459344.6739931,16.478882,ZTF18acpdvos,151.711987,0.032706346000000004
0.0,0.0,1589394450115015124,30.6920647,1,2459343.894456,20.818512,ZTF18acaqdaa,262.0163237,0.20330706
0.0,0.0,1588257464415015008,27.440607,2,2459342.7574653,20.33262,ZTF20abnorit,171.3585126,0.1638464
0.0,0.0,1588236924415015010,27.4405985,1,2459342.7369213,20.149624,ZTF20abnorit,171.3583948,0.19762015
0.0,0.0,1588227770515010023,1.6927857,1,2459342.7277778,16.46212,ZTF18acpdvos,151.7119909,0.029636104000000003
0.0,0.0,1586214954415015005,27.4406683,1,2459340.7149537,20.144028,ZTF20abnorit,171.3584158,0.20647906
0.0,0.0,1586188330515010018,1.6927932,1,2459340.6883333,16.47296,ZTF18acpdvos,151.7119937,0.033340003
0.0,0.0,1584299054415015013,27.440603,1,2459338.7990509,20.354872,ZTF20abnorit,171.358434,0.17894815
0.0,0.0,1584239034415015013,27.44061,2,2459338.7390394,20.332607,ZTF20abnorit,171.3585108,0.15636665
0.0,0.0,1584178430015010000,45.5922127,1,2459338.6784375,19.018183,ZTF18aahqkbt,123.8609536,0.08401648
0.0,0.0,1584170960515010014,1.6927905,1,2459338.6709606,16.49778,ZTF18acpdvos,151.7119918,0.027414994
0.0,0.0,1582218093915010000,34.2620617,1,2459336.7180903,20.006516,ZTF18aabtxvd,119.2272404,0.19730422
0.0,0.0,1581255774415015008,27.4405821,1,2459335.7557755,20.17268,ZTF20abnorit,171.3584013,0.17846403
0.0,0.0,1581221300015010000,45.5921621,1,2459335.7213079,19.093315,ZTF18aahqkbt,123.8610125,0.121945284
0.0,0.0,1581213790515010010,1.6927953,1,2459335.7137963,16.468561,ZTF18acpdvos,151.7119887,0.032617245
0.0,0.0,1575180990015010000,45.5922805,1,2459329.6809954,19.18622,ZTF18aahqkbt,123.8609013,0.17836863
0.0,0.0,1571206820015010000,45.5922087,1,2459325.7068287,19.022825,ZTF18aahqkbt,123.8609448,0.11501707
0.0,0.0,1567289434415015013,27.440597,2,2459321.7894329,20.231241,ZTF20abnorit,171.3584445,0.1961523
0.0,0.0,1567255254415015021,27.4406644,1,2459321.7552546,20.01863,ZTF20abnorit,171.3584447,0.1592806
0.0,0.0,1565246400015010001,45.5921875,1,2459319.7464005,19.1193,ZTF18aahqkbt,123.8609533,0.077982955
0.0,0.0,1563195944415015017,27.4405996,2,2459317.6959491,20.234898,ZTF20abnorit,171.3585021,0.13584459000000002
0.0,0.0,1563185633915010000,34.2621025,1,2459317.6856366,19.97625,ZTF18aabtxvd,119.2272998,0.17752431
0.0,0.0,1563175944415015015,27.4406552,1,2459317.6759491,19.981031,ZTF20abnorit,171.3584393,0.1131938
0.0,0.0,1563172540515010026,1.6927941999999998,1,2459317.6725463,16.48627,ZTF18acpdvos,151.7119905,0.031637117
0.0,0.0,1562221490015010000,45.5921883,1,2459316.7214931,19.160498,ZTF18aahqkbt,123.8609141,0.07465295
0.0,0.0,1561228324415015016,27.4406665,1,2459315.7283218,19.90152,ZTF20abnorit,171.3584408,0.12073556
0.0,0.0,1561206523915010000,34.262146,1,2459315.7065278,19.959265,ZTF18aabtxvd,119.2272529,0.1783025
0.0,0.0,1561193270515010012,1.6927887,1,2459315.6932755,16.497173,ZTF18acpdvos,151.711992,0.032666225
0.0,0.0,1560219870015010000,45.5922381,1,2459314.7198727,19.174175,ZTF18aahqkbt,123.8609152,0.08415395
0.0,0.0,1559248874415015013,27.4406305,1,2459313.7488773,19.853085,ZTF20abnorit,171.3584794,0.13176173
0.0,0.0,1558261050015010001,45.5921913,2,2459312.7610532,20.065544,ZTF18aahqkbt,123.8609232,0.18088995
0.0,0.0,1558204820015010001,45.5921971,1,2459312.7048264,19.08138,ZTF18aahqkbt,123.8609681,0.07857326
0.0,0.0,1555254224415015025,27.4406151,2,2459309.7542245,20.25431,ZTF20abnorit,171.3584629,0.17502798
0.0,0.0,1555194654415015010,27.4406331,1,2459309.6946528,19.819155,ZTF20abnorit,171.358463,0.10850307000000001
